record_id,emp_id,effective_date,base_salary_idr,allowances_idr,total_idr,change_reason
SAL0001,EMP0001,2015-10-29,8815800,1752795,10568595,initial
SAL0002,EMP0001,2016-08-08,9150239,1708467,10858706,market_adjustment
SAL0003,EMP0001,2017-10-12,10180039,1921570,12101609,market_adjustment
SAL0004,EMP0002,2022-02-06,39346388,5527643,44874031,initial
SAL0005,EMP0002,2022-08-26,43397161,7465183,50862344,market_adjustment
SAL0006,EMP0002,2023-09-11,47883584,7631713,55515297,correction
SAL0007,EMP0003,2021-10-15,42623812,6996246,49620058,initial
SAL0008,EMP0003,08-04-2023,47927509,5316676,53244185,correction
SAL0009,EMP0004,22-08-2019,7916379,1446330,9362709,initial
SAL0010,EMP0004,10/03/2020,8987731,1364969,10352700,annual_review
SAL0011,EMP0004,27/03/2021,10318451,1607306,11925757,annual_review
SAL0012,EMP0004,2022-06-14,11575436,1377303,12952739,annual_review
SAL0013,EMP0005,2019-10-15,7843622,1096569,8940191,initial
SAL0014,EMP0005,2020-09-14,8807142,1287029,10094171,promotion
SAL0015,EMP0005,2021-10-15,9382515,1585600,10968115,annual_review
SAL0016,EMP0006,02-10-2015,9790290,1118285,10908575,initial
SAL0017,EMP0006,23/02/2017,10614669,1181594,11796263,correction
SAL0018,EMP0006,2018-06-17,12127695,1376865,13504560,correction
SAL0019,EMP0007,2024-02-08,7734593,1023643,8758236,initial
SAL0020,EMP0007,18/08/2024,8132657,1542453,9675110,correction
SAL0021,EMP0007,28/05/2025,9237932,1154817,10392749,annual_review
SAL0022,EMP0008,19/12/2018,26605092,4386052,30991144,initial
SAL0023,EMP0008,08/09/2019,29696735,3240481,32937216,annual_review
SAL0024,EMP0009,09-09-2020,26848518,3891419,30739937,initial
SAL0025,EMP0009,2021-09-09,27928816,4822954,32751770,market_adjustment
SAL0026,EMP0009,2022-11-24,30818015,4248813,35066828,annual_review
SAL0027,EMP0010,14/02/2019,7596381,792990,8389371,initial
SAL0028,EMP0010,2019-11-08,8655850,1619773,10275623,correction
SAL0029,EMP0010,2020-07-21,9083924,1070873,10154797,annual_review
SAL0030,EMP0011,18-11-2021,8986543,944764,9931307,initial
SAL0031,EMP0011,2022-10-21,9589919,1235930,10825849,market_adjustment
SAL0032,EMP0012,23-10-2018,18031576,2015125,20046701,initial
SAL0033,EMP0012,2019-06-27,20650699,3350700,24001399,annual_review
SAL0034,EMP0012,01-05-2020,21300471,3952112,25252583,market_adjustment
