review_id,emp_id,review_period,review_date,overall_score,reviewer_id,kpi_score,attitude_score,notes
PRF0001,EMP0475,2024-annual,2025-01-20,2.7,EMP0486,2.6,4.5,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0002,EMP0103,2024-mid,2024-07-15,3.3,EMP0298,1.6,3.9,"Performa di bawah ekspektasi, perlu PIP."
PRF0003,EMP0194,2022-mid,2022-07-15,3.9,EMP0008,2.1,2.4,"Top performer, kandidat kuat untuk promosi."
PRF0004,EMP0421,2022-mid,2022-07-15,4.7,EMP0261,3.3,3.6,"Inisiatif tinggi, proaktif mengambil tanggung jawab tambahan."
PRF0005,EMP0046,2022-mid,2022-07-15,1.6,EMP0301,4.7,4.5,"Solid performer, reliable dalam menyelesaikan task."
PRF0006,EMP0499,2023-mid,2023-07-15,2.5,EMP0036,3.6,4.1,"Performa di bawah ekspektasi, perlu PIP."
PRF0007,EMP0423,2022-annual,2023-01-20,4.2,EMP0036,2.1,3.5,"Top performer, kandidat kuat untuk promosi."
PRF0008,EMP0444,2023-mid,2023-07-15,5.0,EMP0051,4.4,5.0,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0009,EMP0169,2024-mid,2024-07-15,4.6,EMP0143,2.6,2.1,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0010,EMP0372,2023-annual,2024-01-20,3.8,EMP0225,4.4,2.5,"Solid performer, reliable dalam menyelesaikan task."
PRF0011,EMP0455,2022-annual,2023-01-20,3.4,EMP0066,4.5,3.4,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0012,EMP0251,2023-annual,2024-01-20,4.1,EMP0036,4.5,2.6,"Top performer, kandidat kuat untuk promosi."
PRF0013,EMP0381,2024-mid,2024-07-15,4.7,EMP0265,2.2,3.3,"Inisiatif tinggi, proaktif mengambil tanggung jawab tambahan."
PRF0014,EMP0298,2024-mid,2024-07-15,3.3,EMP0299,4.9,2.4,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0015,EMP0092,2023-annual,2024-01-20,4.8,EMP0017,4.1,3.6,"Top performer, kandidat kuat untuk promosi."
PRF0016,EMP0022,2022-annual,2023-01-20,3.0,EMP0051,3.4,4.0,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0017,EMP0044,2023-annual,2024-01-20,2.2,EMP0112,2.0,3.4,"Inisiatif tinggi, proaktif mengambil tanggung jawab tambahan."
PRF0018,EMP0147,2024-mid,2024-07-15,4.9,EMP0337,4.0,2.4,"Performa di bawah ekspektasi, perlu PIP."
PRF0019,EMP0317,2022-mid,2022-07-15,5.0,EMP0439,3.2,3.7,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0020,EMP0125,2022-mid,2022-07-15,2.4,EMP0235,4.9,4.9,"Performa konsisten, target tercapai sepanjang periode."
PRF0021,EMP0135,2023-mid,2023-07-15,2.9,EMP0187,3.8,2.7,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0022,EMP0436,2024-mid,2024-07-15,2.4,EMP0207,3.7,4.4,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0023,EMP0486,2024-mid,2024-07-15,4.1,EMP0434,4.8,4.1,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0024,EMP0004,2024-annual,2025-01-20,2.3,EMP0035,4.6,2.5,Sangat baik dalam stakeholder management.
PRF0025,EMP0413,2024-mid,2024-07-15,4.5,EMP0052,4.5,3.4,Sangat baik dalam stakeholder management.
PRF0026,EMP0257,2022-mid,2022-07-15,4.0,EMP0459,1.6,2.8,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0027,EMP0456,2024-mid,2024-07-15,2.7,EMP0163,2.7,3.8,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0028,EMP0234,2022-mid,2022-07-15,1.7,EMP0336,1.9,3.4,Perlu lebih disiplin dalam time management.
PRF0029,EMP0435,2023-mid,2023-07-15,3.7,EMP0472,4.4,2.5,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0030,EMP0451,2022-annual,2023-01-20,4.7,EMP0427,3.1,4.7,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0031,EMP0093,2024-mid,2024-07-15,4.0,EMP0416,4.3,2.1,Perlu lebih disiplin dalam time management.
PRF0032,EMP0487,2022-annual,2023-01-20,4.9,EMP0379,2.7,3.0,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0033,EMP0196,2024-annual,2025-01-20,2.9,EMP0436,3.6,4.4,Sangat baik dalam stakeholder management.
PRF0034,EMP0174,2024-annual,2025-01-20,4.9,EMP0106,4.3,4.7,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0035,EMP0419,2023-mid,2023-07-15,3.8,EMP0286,2.5,2.3,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0036,EMP0357,2024-annual,2025-01-20,4.9,EMP0430,3.4,4.9,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0037,EMP0194,2024-mid,2024-07-15,4.3,EMP0008,3.0,4.4,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0038,EMP0480,2022-annual,2023-01-20,4.5,EMP0172,3.1,3.6,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0039,EMP0025,2023-mid,2023-07-15,4.3,EMP0030,4.6,3.1,"Performa konsisten, target tercapai sepanjang periode."
